Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2019,2,2,0,0,0,0,9,16,8,50,0,0
2020,1,1,0,0,0,0,33,33,33,84.62,0,0
2022,12,12,3,1,4,0,130,638,70.89,102.57,6,0
2023,29,29,4,5,9,1,208,1584,63.36,105.46,24,0
