Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2021,3,3,1,0,1,0,53,124,62,122.77,0,0
2022,13,12,2,0,1,0,64,260,26,92.53,10,0
2023,21,20,2,0,2,3,72*,389,21.61,109.89,7,0
