Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2016,4,2,0,0,0,0,36,45,22.5,100,2,0
2017,28,19,3,0,4,1,83,557,34.81,120.56,9,0
2018,10,6,1,0,0,1,21,68,13.6,87.18,7,0
2019,12,11,2,0,0,1,48,287,31.89,118.11,5,0
2020,3,3,1,0,2,0,92*,210,105,114.75,0,0
2021,6,5,0,0,1,1,64,119,23.8,133.71,2,0
2022,3,2,0,0,1,0,71,100,50,101.01,1,0
2023,20,13,2,0,3,0,87,383,34.82,94.8,7,0
