Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2017,3,3,0,0,2,0,88,162,54,101.25,1,0
2018,3,2,0,0,0,0,30,48,24,82.76,2,0
2019,6,5,0,0,4,0,71,266,53.2,112.71,2,0
2020,9,9,1,1,2,0,103,331,41.38,95.39,3,0
2021,1,1,0,0,0,0,6,6,6,66.67,0,0
2022,17,15,2,1,6,0,113*,724,55.69,91.53,7,0
2023,19,18,3,3,3,1,128*,794,52.93,112.31,9,0
