Year,Mat,Inns,NO,100s,50s,0s,HS  ,Runs,Avg,S/R,Ca,St
2016,3,3,2,1,1,0,100*,196,196,83.4,3,0
2017,7,6,0,0,0,0,17,52,8.67,72.22,2,0
2018,3,3,1,0,1,1,60,69,34.5,80.23,1,0
2019,13,13,1,2,3,1,111,572,47.67,81.13,2,0
2020,9,9,1,1,3,0,112,443,55.38,106.24,10,2
2021,3,3,1,1,1,0,108,177,88.5,101.14,3,0
2022,10,9,0,0,2,0,73,251,27.89,80.19,5,0
2023,24,22,8,2,6,0,111*,983,70.21,88.64,30,2
